#Fake data using artificialDataMaker.py for a Jupiter analogue with a 5% realization of errors.
# ObsDate[JD]   RA["]    RAerror["]  Dec["]   DecError["]
2452511.427 -0.2728288668 0.01020893362 0.01904839453 0.01020893362
2451187.254 0.06528875875 0.01020893362 -0.1760579168 0.01020893362
2453214.377 -0.1655058131 0.01020893362 0.1791154034 0.01020893362
2451638.933 -0.07271011685 0.01020893362 -0.1739407053 0.01020893362
2452254.069 -0.2595374189 0.01020893362 -0.03545434588 0.01020893362
2453237.852 -0.1557967384 0.01020893362 0.1691719019 0.01020893362
2454731.133 0.2456943516 0.01020893362 -0.01809688225 0.01020893362
2453203.944 -0.1658810303 0.01020893362 0.1726190921 0.01020893362
2450881.642 0.158787215 0.01020893362 -0.1354058376 0.01020893362
2451731.53 -0.1044621361 0.01020893362 -0.1503592621 0.01020893362
